# ACTS Test Suite Generation: Sat Sep 26 20:39:43 EEST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 4
# Maximum number of values per parameter: 173
# Number of configurations: 21815
mbap_transaction,mbap_protocol,mbap_len,mbap_slave
5,255,263,37
5,256,264,59
5,257,265,60
5,258,1021,61
5,259,1022,62
5,260,1023,63
5,261,1024,64
5,507,1025,65
5,508,1026,66
5,509,1027,67
5,510,1458,68
5,511,1459,69
5,512,1460,123
5,513,1461,124
5,514,1462,125
5,515,2045,126
5,516,2046,127
5,517,2047,128
5,1019,2048,129
5,1021,2049,130
5,1022,2050,131
5,1023,2051,132
5,1024,2052,133
5,1025,4092,251
5,1026,4093,252
5,1027,4094,253
5,1028,4095,254
5,1029,4096,255
5,2041,4097,0
5,2042,4098,1
5,2043,4099,2
5,2044,8190,3
5,2045,8191,4
5,2046,8192,5
5,2047,8193,6
5,2048,8194,7
5,2049,8195,8
5,2050,32764,9
5,2051,32765,10
5,2052,32766,11
5,4091,32767,12
5,4092,32768,13
5,4093,32769,14
5,4094,32770,15
5,4095,32771,16
5,4096,32772,17
5,4097,32773,18
5,4098,65530,19
5,4099,65531,20
5,4100,65532,21
5,4101,65533,27
5,8187,65534,28
5,8188,65535,29
5,8189,0,30
5,8190,1,31
5,8191,2,32
5,8192,3,33
5,8193,4,34
5,8194,5,35
5,8195,6,36
5,8196,7,37
5,8197,8,59
5,16379,9,60
5,16380,10,61
5,16381,11,62
5,16382,12,63
5,16383,13,64
5,16384,14,65
5,16385,15,66
5,16386,16,67
5,16387,32,68
5,16388,64,69
5,16389,124,123
5,32763,125,124
5,32764,126,125
5,32765,127,126
5,32766,128,127
5,32767,129,128
5,32768,251,129
5,32769,252,130
5,32770,253,131
5,32771,254,132
5,32772,255,133
5,32773,256,251
5,65280,257,252
5,65530,258,253
5,65531,259,254
5,65532,260,255
5,65533,261,0
5,65534,262,1
5,65535,263,2
6,0,264,3
6,1,265,4
6,2,1021,5
6,3,1022,6
6,4,1023,7
6,5,1024,8
6,6,1025,9
6,7,1026,10
6,8,1027,11
6,9,1458,12
6,10,1459,13
6,31,1460,14
6,32,1461,15
6,33,1462,16
6,34,2045,17
6,61,2046,18
6,62,2047,19
6,63,2048,20
6,64,2049,21
6,65,2050,27
6,66,2051,28
6,67,2052,29
6,68,4092,30
6,69,4093,31
6,125,4094,32
6,126,4095,33
6,127,4096,34
6,128,4097,35
6,129,4098,36
6,130,4099,37
6,131,8190,59
6,251,8191,60
6,252,8192,61
6,253,8193,62
6,254,8194,63
6,255,8195,64
6,256,32764,65
6,257,32765,66
6,258,32766,67
6,259,32767,68
6,260,32768,69
6,261,32769,123
6,507,32770,124
6,508,32771,125
6,509,32772,126
6,510,32773,127
6,511,65530,128
6,512,65531,129
6,513,65532,130
6,514,65533,131
6,515,65534,132
6,516,65535,133
6,517,0,251
6,1019,1,252
6,1021,2,254
6,1022,3,255
6,1023,4,0
6,1024,5,1
6,1025,6,253
6,1026,7,2
6,1027,8,3
6,1028,9,4
6,1029,10,5
6,2041,11,6
6,2042,12,7
6,2043,13,8
6,2044,14,9
6,2045,15,10
6,2046,16,11
6,2047,32,12
6,2048,64,13
6,2049,124,14
6,2050,125,15
6,2051,126,16
6,2052,127,17
6,4091,128,18
6,4092,129,19
6,4093,251,20
6,4094,252,21
6,4095,253,27
6,4096,254,28
6,4097,255,29
6,4098,256,30
6,4099,257,33
6,4100,258,31
6,4101,259,32
6,8187,260,36
6,8188,261,37
6,8189,262,59
6,8190,263,60
6,8191,264,61
6,8192,265,62
6,8193,1021,63
6,8194,1022,64
6,8195,1023,65
6,8196,1024,66
6,8197,1025,67
6,16379,1026,68
6,16380,1027,69
6,16381,1458,123
