# ACTS Test Suite Generation: Wed Mar 18 20:43:59 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 5
# Maximum number of values per parameter: 75
# Number of configurations: 5667
Byte_count,Reference_Type,File_number,Record_number,Record_length
59,64,7,65504,65530
60,65,7,65505,65531
61,66,7,65519,65532
62,67,7,65520,65533
63,68,7,65521,65534
64,69,7,65527,65535
65,123,7,65528,0
66,124,7,65529,1
67,125,7,65530,2
68,126,7,65531,3
69,127,7,65532,4
123,128,7,65533,5
124,129,7,65534,7
125,130,7,65535,8
126,251,8,0,9
127,252,8,1,15
128,253,8,2,16
129,254,8,3,17
130,255,8,4,31
131,0,8,5,32
132,1,8,7,33
133,2,8,8,63
251,3,8,9,64
252,4,8,15,65
253,5,8,16,116
254,63,8,17,117
255,132,8,31,118
0,133,8,32,119
1,62,8,33,120
2,67,8,63,121
3,68,8,64,122
4,69,8,65,123
5,123,8,127,124
6,124,8,128,125
7,125,8,129,126
8,126,8,255,127
9,127,8,256,128
10,128,8,257,129
11,129,8,511,255
12,130,8,512,256
13,131,8,513,257
14,6,8,1023,511
15,7,8,1024,512
16,8,8,1025,513
17,9,8,2047,1023
18,10,8,2048,1024
19,11,8,2049,1025
20,12,8,4095,2047
21,13,8,4096,2048
27,14,8,4097,2049
28,15,8,8191,4095
29,16,8,8192,4096
30,17,8,8193,4097
31,18,8,9993,8191
32,19,8,9994,8192
33,20,8,9995,8193
34,21,8,9996,16383
35,27,8,9997,16384
36,28,8,9998,16385
37,30,8,9999,32767
59,31,8,10000,32768
60,32,8,10001,32769
61,33,8,10002,65471
62,34,8,10003,65472
63,35,8,10004,65473
64,36,8,16383,65503
65,37,8,16384,65504
66,59,8,16385,65505
67,60,8,32767,65519
68,61,8,32768,65520
69,64,8,32769,65521
123,65,8,65471,65527
124,66,8,65472,65528
125,133,8,65473,65529
126,252,8,65503,65530
127,29,8,65504,65531
128,63,8,65505,65532
129,251,8,65519,65533
130,0,8,65520,65534
131,1,8,65521,65535
132,2,8,65527,0
133,3,8,65528,1
251,4,8,65529,2
252,5,8,65530,3
253,62,8,65531,4
254,253,8,65532,5
255,254,8,65533,7
0,255,8,65534,8
1,0,8,65535,9
3,2,9,0,15
4,3,9,1,16
5,132,9,2,17
6,133,9,3,31
7,251,9,4,32
8,252,9,5,33
9,253,9,7,63
10,254,9,8,64
11,255,9,9,65
12,1,9,15,116
13,4,9,16,117
14,5,9,17,118
15,6,9,31,119
16,7,9,32,120
17,8,9,33,121
18,9,9,63,122
19,10,9,64,123
20,11,9,65,124
21,12,9,127,125
27,13,9,128,126
28,14,9,129,127
29,15,9,255,128
30,16,9,256,129
31,17,9,257,255
32,18,9,511,256
33,19,9,512,257
34,20,9,513,511
35,21,9,1023,512
36,27,9,1024,513
37,28,9,1025,1023
59,29,9,2047,1024
60,30,9,2048,1025
61,31,9,2049,2047
62,32,9,4095,2048
63,33,9,4096,2049
64,34,9,4097,4095
65,35,9,8191,4096
66,36,9,8192,4097
67,37,9,8193,8191
68,59,9,9993,8192
69,60,9,9994,8193
123,61,9,9995,16383
124,62,9,9996,16384
125,63,9,9997,16385
126,64,9,9998,32767
127,65,9,9999,32768
128,66,9,10000,32769
129,67,9,10001,65471
130,68,9,10002,65472
131,69,9,10003,65473
132,123,9,10004,65503
133,124,9,16383,65504
251,125,9,16384,65505
252,126,9,16385,65519
253,127,9,32767,65520
254,128,9,32768,65521
255,129,9,32769,65527
0,130,9,65471,65528
1,131,9,65472,65529
2,251,9,65473,65530
3,0,9,65503,65531
4,1,9,65504,65532
5,2,9,65505,65533
6,3,9,65519,65534
