# ACTS Test Suite Generation: Wed Mar 18 21:01:10 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 183
# Number of configurations: 15752
quan,byte_count,num_value
2050,33,11
2051,34,11
2052,35,11
2053,36,11
4091,37,11
4092,59,11
4093,60,11
4094,61,11
4095,62,11
4096,63,11
4097,64,11
4098,65,11
4099,66,11
4100,67,11
4101,68,11
5000,69,11
8187,123,11
8188,124,11
8189,125,11
8190,126,11
8191,127,11
8192,128,11
8193,129,11
8194,130,11
8195,131,11
8196,132,11
8197,133,11
10000,251,11
16379,252,11
16380,253,11
16381,254,11
16382,255,11
16383,0,11
16384,1,11
16385,2,11
16386,3,11
16387,4,11
16388,5,11
16389,6,11
20000,7,11
32763,8,11
32764,9,11
32765,10,11
32766,11,11
32767,12,11
32768,13,11
32769,14,11
32770,15,11
32771,16,11
32772,17,11
32773,18,11
65530,19,11
65531,20,11
65532,21,11
65533,27,11
65534,28,11
65535,29,11
1,30,13
2,31,13
3,32,13
4,33,13
5,34,13
6,35,13
7,36,13
8,37,13
9,59,13
10,60,13
11,61,13
12,62,13
13,63,13
14,64,13
15,65,13
16,66,13
17,67,13
18,68,13
19,69,13
20,123,13
21,124,13
27,125,13
28,126,13
29,127,13
30,128,13
31,129,13
32,130,13
33,131,13
34,132,13
35,133,13
36,251,13
37,252,13
59,253,13
60,254,13
61,255,13
62,0,13
63,1,13
64,2,13
65,3,13
66,4,13
67,5,13
68,6,13
69,7,13
111,8,13
112,9,13
113,10,13
114,11,13
115,12,13
116,13,13
117,14,13
118,15,13
119,16,13
120,17,13
121,18,13
122,19,13
123,20,13
124,21,13
125,27,13
126,28,13
127,29,13
128,30,13
129,31,13
130,32,13
131,33,13
132,34,13
133,35,13
134,36,13
251,37,13
252,59,13
253,60,13
254,61,13
255,62,13
256,63,13
257,64,13
258,65,13
259,66,13
260,67,13
261,68,13
507,69,13
508,123,13
509,124,13
510,125,13
511,126,13
512,127,13
513,128,13
514,129,13
515,130,13
516,131,13
517,132,13
1019,133,13
1020,251,13
1021,252,13
1022,253,13
1023,254,13
1024,255,13
1025,0,13
1026,1,13
1027,2,13
1028,3,13
1029,4,13
2043,5,13
2044,6,13
2045,7,13
2046,8,13
2047,9,13
2048,10,13
2049,11,13
2050,12,13
2051,13,13
2052,14,13
2053,15,13
4091,16,13
4092,17,13
4093,18,13
4094,19,13
4095,20,13
4096,21,13
4097,27,13
4098,28,13
4099,29,13
4100,30,13
4101,31,13
5000,32,13
8187,33,13
8188,34,13
8189,35,13
8190,36,13
8191,37,13
8192,59,13
8193,60,13
8194,61,13
8195,62,13
8196,63,13
8197,64,13
10000,65,13
16379,66,13
16380,67,13
16381,68,13
16382,69,13
16383,123,13
16384,124,13
16385,125,13
16386,126,13
16387,127,13
16388,128,13
16389,129,13
20000,130,13
32763,131,13
32764,132,13
32765,133,13
32766,251,13
32767,252,13
32768,253,13
32769,254,13
32770,255,13
32771,0,13
32772,1,13
32773,2,13
65530,3,13
65531,4,13
65532,5,13
65533,6,13
65534,7,13
65535,8,13
1,9,15
2,10,15
3,11,15
4,12,15
5,13,15
6,14,15
7,15,15
8,17,15
9,19,15
10,21,15
11,27,15
12,28,15
13,29,15
14,30,15
15,31,15
16,34,15
17,36,15
18,59,15
19,60,15
20,61,15
21,62,15
27,63,15
28,64,15
29,65,15
30,66,15
31,67,15
32,68,15
33,69,15
34,123,15
35,124,15
36,125,15
37,126,15
59,127,15
60,128,15
61,129,15
62,130,15
63,131,15
64,132,15
65,133,15
66,251,15
67,252,15
68,253,15
69,254,15
111,255,15
112,0,15
113,16,15
114,18,15
115,20,15
116,32,15
117,33,15
118,35,15
119,1,15
120,37,15
121,2,15
122,3,15
123,4,15
124,5,15
125,6,15
126,7,15
127,8,15
128,9,15
129,10,15
130,11,15
131,12,15
132,13,15
133,14,15
134,15,15
251,16,15
252,17,15
253,18,15
254,19,15
255,20,15
256,21,15
257,27,15
258,28,15
259,29,15
260,30,15
261,31,15
507,32,15
508,33,15
509,34,15
510,35,15
511,36,15
512,37,15
513,59,15
514,60,15
515,61,15
516,62,15
517,63,15
1019,64,15
1020,65,15
1021,66,15
1022,67,15
1023,68,15
1024,69,15
1025,123,15
1026,124,15
1027,125,15
1028,126,15
1029,127,15
2043,128,15
2044,129,15
2045,130,15
2046,131,15
2047,132,15
2048,133,15
2049,251,15
2050,252,15
2051,253,15
2052,254,15
2053,255,15
4091,0,15
4092,1,15
4093,2,15
4094,3,15
4095,4,15
4096,5,15
4097,6,15
4098,7,15
4099,8,15
4100,9,15
4101,10,15
5000,11,15
8187,12,15
8188,13,15
8189,14,15
8190,15,15
8191,16,15
8192,17,15
8193,18,15
8194,19,15
8195,20,15
8196,21,15
8197,27,15
10000,28,15
16379,29,15
16380,30,15
16381,31,15
16382,32,15
16383,33,15
16384,34,15
16385,35,15
16386,36,15
16387,37,15
16388,59,15
16389,60,15
20000,61,15
32763,62,15
32764,63,15
32765,64,15
32766,65,15
32767,66,15
32768,67,15
32769,68,15
32770,69,15
32771,123,15
32772,124,15
32773,125,15
65530,126,15
65531,127,15
65532,128,15
65533,129,15
65534,130,15
65535,131,15
1,132,17
2,133,17
3,251,17
4,252,17
5,253,17
6,254,17
7,255,17
8,0,17
9,1,17
10,2,17
11,3,17
12,4,17
13,5,17
14,6,17
15,7,17
16,8,17
17,9,17
18,10,17
19,11,17
20,12,17
21,13,17
27,14,17
28,15,17
29,16,17
30,17,17
31,18,17
32,19,17
33,20,17
34,21,17
35,27,17
36,28,17
37,29,17
59,30,17
60,31,17
61,32,17
62,33,17
63,34,17
64,35,17
65,36,17
66,37,17
67,59,17
68,60,17
69,61,17
111,62,17
112,63,17
113,64,17
114,65,17
115,66,17
116,67,17
117,68,17
118,69,17
119,123,17
120,124,17
121,125,17
122,126,17
123,127,17
124,128,17
125,129,17
126,130,17
127,131,17
128,132,17
129,133,17
130,251,17
131,252,17
132,253,17
133,254,17
134,255,17
251,0,17
252,1,17
253,2,17
254,3,17
255,4,17
256,5,17
257,6,17
258,7,17
259,8,17
260,9,17
261,10,17
507,11,17
508,12,17
509,13,17
510,14,17
511,15,17
512,16,17
513,17,17
514,18,17
515,19,17
516,20,17
517,21,17
1019,27,17
1020,28,17
1021,29,17
1022,30,17
1023,31,17
1024,32,17
1025,33,17
1026,34,17
1027,35,17
1028,36,17
1029,37,17
2043,59,17
2044,60,17
2045,61,17
2046,62,17
2047,63,17
2048,64,17
2049,65,17
2050,66,17
2051,67,17
2052,68,17
2053,69,17
4091,123,17
4092,124,17
4093,125,17
4094,126,17
4095,127,17
4096,128,17
4097,129,17
4098,130,17
4099,131,17
4100,132,17
4101,133,17
5000,251,17
8187,252,17
8188,253,17
8189,254,17
8190,255,17
8191,0,17
8192,1,17
8193,2,17
8194,3,17
8195,4,17
8196,5,17
8197,6,17
10000,7,17
16379,8,17
16380,9,17
16381,10,17
16382,11,17
16383,12,17
16384,13,17
16385,14,17
16386,15,17
16387,16,17
16388,17,17
16389,18,17
20000,19,17
32763,20,17
32764,21,17
32765,27,17
32766,28,17
32767,29,17
32768,30,17
32769,31,17
32770,32,17
32771,33,17
32772,34,17
32773,35,17
65530,36,17
65531,37,17
65532,59,17
65533,60,17
65534,61,17
65535,62,17
1,63,19
2,64,19
3,65,19
4,66,19
5,67,19
6,68,19
7,69,19
8,123,19
9,124,19
10,125,19
11,126,19
12,127,19
13,128,19
14,129,19
15,130,19
16,131,19
17,132,19
18,133,19
19,251,19
20,252,19
21,253,19
27,254,19
28,255,19
29,0,19
30,1,19
31,2,19
32,3,19
33,4,19
34,5,19
35,6,19
36,7,19
37,8,19
59,9,19
60,10,19
61,11,19
62,12,19
63,13,19
64,14,19
65,15,19
66,16,19
67,17,19
68,18,19
69,19,19
111,20,19
112,21,19
113,27,19
114,28,19
115,29,19
116,30,19
117,31,19
118,32,19
119,33,19
120,34,19
121,35,19
122,36,19
123,37,19
124,59,19
125,60,19
126,61,19
127,62,19
128,63,19
129,64,19
130,65,19
131,66,19
132,67,19
133,68,19
134,69,19
251,123,19
252,124,19
253,125,19
254,126,19
255,127,19
256,128,19
257,129,19
258,130,19
