# ACTS Test Suite Generation: Wed Mar 18 21:14:49 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 165
# Number of configurations: 14202
quan_write,byte_count,num_value
16,64,32769
16,65,32771
16,66,32773
16,67,65531
16,68,65533
16,69,65535
17,32,1
17,124,3
17,125,5
17,126,7
17,127,9
17,128,11
17,129,13
17,130,15
17,131,17
17,132,19
17,133,21
17,251,27
17,252,29
17,253,31
17,254,33
17,255,35
17,0,37
17,1,59
17,2,61
17,3,63
17,4,65
17,5,67
17,6,69
17,7,111
17,8,113
17,9,115
17,10,117
17,11,119
17,12,121
17,13,123
17,14,125
17,15,127
17,16,129
17,18,131
17,33,133
17,123,251
17,17,253
17,19,255
17,20,257
17,21,259
17,27,261
17,28,507
17,29,509
17,30,511
17,31,513
17,35,515
17,36,517
17,37,1019
17,59,1021
17,60,1023
17,61,1025
17,62,1027
17,63,1029
17,64,2043
17,65,2045
17,66,2047
17,67,2049
17,68,2051
17,69,2053
17,32,4091
17,123,4093
17,124,4095
17,125,4097
17,126,4099
17,127,4101
17,128,8187
17,129,8189
17,130,8191
17,131,8193
17,132,8195
17,133,8197
17,251,16379
17,252,16381
17,253,16383
17,254,16385
17,255,16387
17,0,16389
17,1,32763
17,2,32765
17,3,32767
17,4,32769
17,5,32771
17,6,32773
17,7,65531
17,8,65533
17,9,65535
18,10,1
18,11,3
18,12,5
18,13,7
18,14,9
18,15,11
18,16,13
18,17,15
18,18,17
18,32,19
18,33,21
18,34,27
18,35,29
18,60,31
18,61,33
18,62,35
18,63,37
18,64,59
18,65,61
18,66,63
18,67,65
18,68,67
18,69,69
18,123,111
18,124,113
18,125,115
18,126,117
18,127,119
18,128,121
18,129,123
18,130,125
18,131,127
18,132,129
18,133,131
18,251,133
18,252,251
18,253,253
18,254,255
18,255,257
18,0,259
18,1,261
18,2,507
18,3,509
18,4,511
18,6,513
18,8,515
18,9,517
18,19,1019
18,20,1021
18,21,1023
18,27,1025
18,28,1027
18,29,1029
18,30,2043
18,31,2045
18,37,2047
18,59,2049
18,5,2051
18,7,2053
18,11,4091
18,14,4093
18,16,4095
18,17,4097
18,18,4099
18,32,4101
18,33,8187
18,34,8189
18,10,8191
18,12,8193
18,13,8195
18,15,8197
18,16,16379
18,17,16381
18,19,16383
18,20,16385
18,21,16387
18,27,16389
18,28,32763
18,29,32765
18,30,32767
18,31,32769
18,32,32771
18,33,32773
18,34,65531
18,35,65533
18,37,65535
19,59,1
19,36,3
19,60,5
19,61,7
19,62,9
19,63,11
19,64,13
19,65,15
19,66,17
19,67,19
19,68,21
19,69,27
19,123,29
19,124,31
19,125,33
19,126,35
19,127,37
19,128,59
19,129,61
19,130,63
19,131,65
19,132,67
19,133,69
19,251,111
19,252,113
19,253,115
19,254,117
19,255,119
19,0,121
19,1,123
19,2,125
19,3,127
19,4,129
19,5,131
19,6,133
19,7,251
19,8,253
19,9,255
19,10,257
19,11,259
19,12,261
19,13,507
19,14,509
19,15,511
19,18,513
19,19,515
19,20,517
19,21,1019
19,27,1021
19,28,1023
19,29,1025
19,30,1027
19,31,1029
19,32,2043
19,33,2045
19,34,2047
19,35,2049
19,37,2051
19,36,2053
19,16,4091
19,17,4093
19,36,4095
19,60,4097
19,61,4099
19,62,4101
19,63,8187
19,64,8189
19,65,8191
19,66,8193
19,67,8195
19,68,8197
19,69,16379
19,123,16381
19,124,16383
19,125,16385
19,126,16387
19,127,16389
19,128,32763
19,129,32765
19,130,32767
19,131,32769
19,132,32771
19,133,32773
19,251,65531
19,252,65533
19,253,65535
20,254,1
20,255,3
20,0,5
20,1,7
20,2,9
20,3,11
20,4,13
20,5,15
20,6,17
20,7,19
20,8,21
20,9,27
20,10,29
20,11,31
20,12,33
20,13,35
20,14,37
20,15,59
20,18,61
20,59,63
20,60,65
20,61,67
20,62,69
20,63,111
20,64,113
20,65,115
20,66,117
20,67,119
20,68,121
20,69,123
20,123,125
20,124,127
20,125,129
20,126,131
20,127,133
20,128,251
20,129,253
20,130,255
20,131,257
20,132,259
20,133,261
20,251,507
20,252,509
20,253,511
20,16,513
20,17,515
20,19,517
20,20,1019
20,21,1021
20,27,1023
20,28,1025
20,29,1027
20,30,1029
20,31,2043
20,32,2045
20,33,2047
20,34,2049
20,35,2051
20,37,2053
20,36,4091
20,59,4093
20,255,4095
20,0,4097
20,1,4099
20,2,4101
20,3,8187
20,4,8189
20,5,8191
20,6,8193
20,7,8195
20,8,8197
20,9,16379
20,10,16381
20,11,16383
20,12,16385
20,13,16387
20,14,16389
20,15,32763
20,18,32765
20,254,32767
20,255,32769
20,0,32771
20,1,32773
20,2,65531
20,3,65533
20,4,65535
21,6,1
21,7,3
21,8,5
21,9,7
21,10,9
21,11,11
21,12,13
21,13,15
21,14,17
21,15,19
21,16,21
21,17,27
21,19,29
21,21,31
21,27,33
21,28,35
21,29,37
21,30,59
21,31,61
21,32,63
21,33,65
21,34,67
21,35,69
21,36,111
21,37,113
21,59,115
21,60,117
21,61,119
21,62,121
21,63,123
21,64,125
21,65,127
21,66,129
21,67,131
21,68,133
21,69,251
21,123,253
21,124,255
21,125,257
21,126,259
21,127,261
21,128,507
21,129,509
21,130,511
21,131,513
21,132,515
21,133,517
21,251,1019
21,252,1021
21,253,1023
21,254,1025
21,5,1027
21,18,1029
21,20,2043
21,0,2045
21,2,2047
21,3,2049
21,4,2051
21,6,2053
21,255,4091
21,1,4093
21,5,4095
21,7,4097
21,8,4099
21,9,4101
21,10,8187
21,11,8189
21,12,8191
21,13,8193
21,14,8195
21,16,8197
21,17,16379
21,18,16381
21,20,16383
21,21,16385
21,27,16387
21,28,16389
21,29,32763
21,30,32765
21,31,32767
21,32,32769
21,33,32771
21,34,32773
21,35,65531
21,36,65533
21,59,65535
27,60,1
27,61,3
27,62,5
27,63,7
27,64,9
27,65,11
27,66,13
27,67,15
27,68,17
27,69,19
27,123,21
27,124,27
27,125,29
27,126,31
27,127,33
27,128,35
27,129,37
27,130,59
27,131,61
27,132,63
27,133,65
27,251,67
27,252,69
27,253,111
27,254,113
27,15,115
27,19,117
27,20,119
27,37,121
27,59,123
27,255,125
27,0,127
27,1,129
27,2,131
27,4,133
27,5,251
27,6,253
27,7,255
27,8,257
27,9,259
27,10,261
27,11,507
27,12,509
27,13,511
27,14,513
27,18,515
27,21,517
27,27,1019
27,28,1021
27,29,1023
27,30,1025
27,31,1027
27,32,1029
27,33,2043
27,34,2045
27,35,2047
27,36,2049
27,17,2051
27,19,2053
27,3,4091
27,16,4093
27,60,4095
27,61,4097
27,62,4099
27,63,4101
27,64,8187
27,65,8189
27,66,8191
27,67,8193
27,68,8195
27,69,8197
27,123,16379
27,124,16381
27,125,16383
27,126,16385
27,127,16387
27,128,16389
27,129,32763
27,130,32765
27,131,32767
27,132,32769
27,133,32771
27,251,32773
27,252,65531
27,253,65533
27,254,65535
28,15,1
28,16,3
28,37,5
28,59,7
28,60,9
28,61,11
28,62,13
28,63,15
28,64,17
28,65,19
28,66,21
28,67,27
28,68,29
28,69,31
28,123,33
28,124,35
28,125,37
28,126,59
28,127,61
28,128,63
28,129,65
28,130,67
28,131,69
28,132,111
28,133,113
28,251,115
28,252,117
28,253,119
28,254,121
28,255,123
28,0,125
28,1,127
28,2,129
28,3,131
28,7,133
28,8,251
28,9,253
28,10,255
28,11,257
28,12,259
28,13,261
28,14,507
28,17,509
28,18,511
28,19,513
28,20,515
28,27,517
28,28,1019
28,29,1021
28,30,1023
28,31,1025
28,32,1027
28,33,1029
28,34,2043
28,35,2045
28,36,2047
28,4,2049
28,6,2051
28,21,2053
28,37,4091
28,5,4093
28,6,4095
28,15,4097
28,21,4099
28,27,4101
28,28,8187
28,29,8189
28,30,8191
28,31,8193
28,32,8195
28,33,8197
28,35,16379
28,36,16381
28,37,16383
28,59,16385
28,60,16387
28,61,16389
28,62,32763
28,63,32765
28,64,32767
28,65,32769
28,66,32771
28,67,32773
28,68,65531
28,69,65533
28,123,65535
29,124,1
29,125,3
29,126,5
29,127,7
29,128,9
29,129,11
29,130,13
29,131,15
29,132,17
29,133,19
29,251,21
29,252,27
29,253,29
29,254,31
29,255,33
29,0,35
29,1,37
29,2,59
29,3,61
29,4,63
29,5,65
29,7,67
29,9,69
29,11,111
29,12,113
29,14,115
29,15,117
29,16,119
29,17,121
29,18,123
29,19,125
29,20,127
29,8,129
29,10,131
29,13,133
