# ACTS Test Suite Generation: Thu Nov 04 11:35:24 EET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 6
# Maximum number of values per parameter: 183
# Number of configurations: 7267
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
131,255,65533,4097,2047,11
132,0,65534,8191,2048,11
133,1,65535,8192,2049,11
251,2,0,8193,4095,11
252,3,1,9993,4096,11
253,4,2,9994,4097,11
254,5,3,9995,8191,11
255,60,4,9996,8192,11
0,59,5,9997,8193,11
1,8,7,9998,16383,11
2,61,8,9999,16384,11
3,7,9,10000,16385,11
4,11,10,10001,32767,11
5,12,11,10002,32768,11
6,13,12,10003,32769,11
7,14,13,10004,65471,11
8,15,14,16383,65472,11
9,16,15,16384,65473,11
10,17,16,16385,65503,11
11,18,17,32767,65504,11
12,19,31,32768,65505,11
13,131,32,32769,65519,11
14,6,33,65471,65520,11
15,10,63,65472,65521,11
16,9,64,65473,65527,11
17,21,65,65503,65528,11
18,27,127,65504,65529,11
19,28,128,65505,65530,11
20,29,129,65519,65531,11
21,30,255,65520,65532,11
27,31,256,65521,65533,11
28,32,257,65527,65534,11
29,33,511,65528,65535,11
30,34,512,65529,0,11
31,35,513,65530,1,11
32,36,1023,65531,2,11
33,37,1024,65532,3,11
34,59,1025,65533,4,11
35,60,2047,65534,5,11
36,61,2048,65535,7,11
37,62,2049,0,8,13
59,63,4095,1,9,13
60,64,4096,2,15,13
61,65,4097,3,16,13
62,66,8191,4,17,13
63,67,8192,5,31,13
64,68,8193,7,32,13
65,69,10000,8,33,13
66,123,16383,9,63,13
67,124,16384,15,64,13
68,125,16385,16,65,13
69,126,32767,17,116,13
123,127,32768,31,117,13
124,128,32769,32,118,13
125,129,65471,33,119,13
126,130,65472,63,120,13
127,133,65473,64,121,13
128,251,65503,65,122,13
129,252,65504,127,123,13
130,253,65505,128,124,13
131,254,65519,129,125,13
132,255,65520,255,126,13
133,0,65521,256,127,13
251,1,65527,257,128,13
252,4,65528,511,129,13
253,5,65529,512,255,13
254,132,65530,513,256,13
255,2,65531,1023,257,13
0,3,65532,1024,511,13
1,6,65533,1025,512,13
2,7,65534,2047,513,13
3,20,65535,2048,1023,13
4,21,0,2049,1024,13
5,27,1,4095,1025,13
6,28,2,4096,2047,13
7,29,3,4097,2048,13
8,30,4,8191,2049,13
9,31,5,8192,4095,13
10,32,7,8193,4096,13
11,33,8,9993,4097,13
12,34,9,9994,8191,13
13,35,10,9995,8192,13
14,36,11,9996,8193,13
15,37,12,9997,16383,13
16,59,13,9998,16384,13
17,60,14,9999,16385,13
18,61,15,10000,32767,13
19,9,16,10001,32768,13
20,10,17,10002,32769,13
21,11,31,10003,65471,13
27,12,32,10004,65472,13
28,13,33,16383,65473,13
29,14,63,16384,65503,13
30,15,64,16385,65504,13
31,16,65,32767,65505,13
32,17,127,32768,65519,13
33,18,128,32769,65520,13
34,19,129,65471,65521,13
35,131,255,65472,65527,13
36,8,256,65473,65528,13
37,20,257,65503,65529,13
59,64,511,65504,65530,13
60,65,512,65505,65531,13
61,66,513,65519,65532,13
62,67,1023,65520,65533,13
63,68,1024,65521,65534,13
64,69,1025,65527,65535,13
65,123,2047,65528,0,13
66,124,2048,65529,1,13
67,125,2049,65530,2,13
68,126,4095,65531,3,13
69,127,4096,65532,4,13
123,128,4097,65533,5,13
124,129,8191,65534,7,13
125,130,8192,65535,8,13
126,251,8193,0,9,15
127,252,10000,1,15,15
128,253,16383,2,16,15
129,254,16384,3,17,15
130,255,16385,4,31,15
131,0,32767,5,32,15
132,1,32768,7,33,15
133,2,32769,8,63,15
251,3,65471,9,64,15
252,5,65472,15,65,15
253,62,65473,16,116,15
254,63,65503,17,117,15
255,132,65504,31,118,15
0,133,65505,32,119,15
1,7,65519,33,120,15
2,8,65520,63,121,15
3,9,65521,64,122,15
4,10,65527,65,123,15
5,11,65528,127,124,15
6,12,65529,128,125,15
7,13,65530,129,126,15
8,4,65531,255,127,15
9,14,65532,256,128,15
10,15,65533,257,129,15
11,16,65534,511,255,15
12,17,65535,512,256,15
13,18,0,513,257,15
14,19,1,1023,511,15
15,20,2,1024,512,15
16,21,3,1025,513,15
17,27,4,2047,1023,15
18,28,5,2048,1024,15
19,29,7,2049,1025,15
20,30,8,4095,2047,15
21,31,9,4096,2048,15
27,32,10,4097,2049,15
28,33,11,8191,4095,15
29,34,12,8192,4096,15
30,35,13,8193,4097,15
31,36,14,9993,8191,15
32,37,15,9994,8192,15
33,60,16,9995,8193,15
34,61,17,9996,16383,15
35,64,31,9997,16384,15
36,65,32,9998,16385,15
37,66,33,9999,32767,15
59,67,63,10000,32768,15
60,68,64,10001,32769,15
61,69,65,10002,65471,15
62,123,127,10003,65472,15
63,124,128,10004,65473,15
64,125,129,16383,65503,15
65,126,255,16384,65504,15
66,127,256,16385,65505,15
67,128,257,32767,65519,15
68,129,511,32768,65520,15
69,130,512,32769,65521,15
123,59,513,65471,65527,15
124,62,1023,65472,65528,15
125,6,1024,65473,65529,15
126,131,1025,65503,65530,15
127,132,2047,65504,65531,15
128,133,2048,65505,65532,15
129,251,2049,65519,65533,15
130,252,4095,65520,65534,15
131,253,4096,65521,65535,15
132,254,4097,65527,0,15
133,3,8191,65528,1,15
251,4,8192,65529,2,15
252,63,8193,65530,3,15
253,1,10000,65531,4,15
254,2,16383,65532,5,15
255,5,16384,65533,7,15
0,6,16385,65534,8,15
1,255,32767,65535,9,15
3,0,32768,0,15,17
4,3,32769,1,16,17
5,4,65471,2,17,17
6,10,65472,3,31,17
7,11,65473,4,32,17
8,12,65503,5,33,17
9,13,65504,7,63,17
10,14,65505,8,64,17
11,15,65519,9,65,17
12,16,65520,15,116,17
13,17,65521,16,117,17
14,18,65527,17,118,17
15,19,65528,31,119,17
16,20,65529,32,120,17
17,29,65530,33,121,17
18,30,65531,63,122,17
19,31,65532,64,123,17
20,32,65533,65,124,17
21,33,65534,127,125,17
27,34,65535,128,126,17
28,35,0,129,127,17
29,36,1,255,128,17
30,37,2,256,129,17
31,59,3,257,255,17
32,61,4,511,256,17
33,62,5,512,257,17
34,63,7,513,511,17
35,65,8,1023,512,17
36,66,9,1024,513,17
37,67,10,1025,1023,17
59,68,11,2047,1024,17
60,69,12,2048,1025,17
61,123,13,2049,2047,17
62,124,14,4095,2048,17
63,125,15,4096,2049,17
64,126,16,4097,4095,17
65,127,17,8191,4096,17
66,128,31,8192,4097,17
67,129,32,8193,8191,17
68,130,33,9993,8192,17
69,131,63,9994,8193,17
123,132,64,9995,16383,17
124,133,65,9996,16384,17
125,251,127,9997,16385,17
126,252,128,9998,32767,17
127,253,129,9999,32768,17
128,254,255,10000,32769,17
129,255,256,10001,65471,17
130,1,257,10002,65472,17
131,2,511,10003,65473,17
132,7,512,10004,65503,17
133,8,513,16383,65504,17
251,9,1023,16384,65505,17
252,21,1024,16385,65519,17
253,27,1025,32767,65520,17
254,28,2047,32768,65521,17
255,64,2048,32769,65527,17
0,5,2049,65471,65528,17
1,60,4095,65472,65529,17
2,63,4096,65473,65530,17
3,64,4097,65503,65531,17
4,0,8191,65504,65532,17
5,1,8192,65505,65533,17
6,2,8193,65519,65534,17
7,3,10000,65520,65535,17
8,5,16383,65521,0,17
9,6,16384,65527,1,17
10,7,16385,65528,2,17
11,8,32767,65529,3,17
12,9,32768,65530,4,17
13,10,32769,65531,5,17
14,11,65471,65532,7,17
15,12,65472,65533,8,17
16,13,65473,65534,9,17
17,14,65503,65535,15,17
18,15,65504,0,16,19
19,16,65505,1,17,19
