# ACTS Test Suite Generation: Thu Jul 01 10:43:55 EEST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 132
# Number of configurations: 13376
quan,byte_count,Out_value
15,31,514
15,3,515
15,3,1000
15,4,1021
15,3,1022
15,16,1023
15,32,1024
15,33,1025
15,63,1026
15,64,1027
15,65,1028
15,127,1436
15,128,1437
15,129,1438
15,130,1439
15,131,1440
15,132,1441
15,251,1442
15,252,1443
15,253,1444
15,254,2040
15,255,2041
15,0,2042
15,1,2043
15,2,2044
15,3,2045
15,4,2046
15,5,2047
15,6,2048
15,7,2049
15,9,2050
15,10,2051
15,15,4091
15,16,4092
15,17,4093
15,31,4094
15,32,4095
15,33,4096
15,63,4097
15,64,4098
15,65,4099
15,127,4100
15,128,5000
15,129,8190
15,130,8191
15,131,8192
15,132,8193
15,251,8194
15,252,10000
15,253,16381
15,254,16382
15,255,16383
15,0,16384
15,1,16385
15,2,16386
15,3,16387
15,4,16388
15,5,20000
15,6,32763
15,7,32764
15,9,32765
15,10,32766
15,15,32767
15,16,32768
15,17,32769
15,31,32770
15,32,32771
15,33,32772
15,63,32773
16,8,1
16,64,3
16,65,4
16,127,5
16,128,10
16,129,16
16,130,32
16,131,64
16,132,125
16,251,126
16,252,127
16,253,128
16,254,129
16,255,130
16,0,131
16,1,250
16,3,251
16,4,252
16,5,253
16,6,254
16,7,255
16,9,256
16,10,257
16,15,258
16,16,259
16,17,507
16,31,508
16,32,509
16,33,510
16,63,511
16,64,512
16,8,513
16,8,514
16,65,515
16,127,1000
16,128,1021
16,129,1022
16,130,1023
16,131,1024
16,132,1025
16,251,1026
16,252,1027
16,253,1028
16,254,1436
16,255,1437
16,0,1438
16,1,1439
16,3,1440
16,4,1441
16,8,1442
16,9,1443
16,10,1444
16,15,2040
16,16,2041
16,17,2042
16,31,2043
16,32,2044
16,33,2045
16,63,2046
16,64,2047
16,65,2048
16,127,2049
16,128,2050
16,129,2051
16,130,4091
16,131,4092
16,132,4093
16,251,4094
16,252,4095
16,253,4096
16,254,4097
16,255,4098
16,0,4099
16,1,4100
16,6,5000
16,7,8190
16,8,8191
16,3,8192
16,5,8193
16,6,8194
16,7,10000
16,8,16381
16,9,16382
16,10,16383
16,15,16384
16,16,16385
16,17,16386
16,31,16387
16,32,16388
16,33,20000
16,63,32763
16,64,32764
16,65,32765
16,127,32766
16,128,32767
16,129,32768
16,130,32769
16,131,32770
16,132,32771
16,251,32772
16,252,32773
17,253,1
17,254,3
17,255,4
17,2,5
17,5,10
17,0,16
17,1,32
17,4,64
17,6,125
17,7,126
17,8,127
17,9,128
17,10,129
17,15,130
17,16,131
17,17,250
17,31,251
17,32,252
17,33,253
17,63,254
17,64,255
17,65,256
17,127,257
17,128,258
17,129,259
17,130,507
17,131,508
17,132,509
17,251,510
17,252,511
17,253,512
17,254,513
17,255,514
17,0,515
17,4,1000
17,5,1021
17,6,1022
17,1,1023
17,2,1024
17,2,1025
17,2,1026
17,2,1027
17,4,1028
17,5,1436
17,7,1437
17,8,1438
17,9,1439
17,10,1440
17,15,1441
17,16,1442
17,17,1443
17,31,1444
17,32,2040
17,33,2041
17,63,2042
17,64,2043
17,65,2044
17,127,2045
17,128,2046
17,129,2047
17,130,2048
17,131,2049
17,132,2050
17,251,2051
17,252,4091
17,253,4092
17,254,4093
17,255,4094
17,0,4095
17,1,4096
17,2,4097
17,4,4098
17,5,4099
17,6,4100
17,7,5000
17,8,8190
17,9,8191
17,10,8192
17,15,8193
17,16,8194
17,17,10000
17,31,16381
17,32,16382
17,33,16383
17,63,16384
17,64,16385
17,65,16386
17,127,16387
17,128,16388
17,129,20000
17,130,32763
17,131,32764
17,132,32765
17,251,32766
17,252,32767
17,253,32768
17,254,32769
17,255,32770
17,0,32771
17,1,32772
17,2,32773
31,7,1
31,9,2
31,17,4
31,31,5
31,3,10
31,4,16
31,5,32
31,6,64
31,8,125
31,33,126
31,63,127
31,64,128
31,65,129
31,127,130
31,128,131
31,129,250
31,130,251
31,131,252
31,132,253
31,251,254
31,252,255
31,253,256
31,254,257
31,255,258
31,0,259
31,1,507
31,2,508
31,16,509
31,32,510
31,15,511
31,16,512
31,31,513
31,32,514
31,33,515
31,63,1000
31,64,1021
31,65,1022
31,127,1023
31,3,1024
31,3,1025
31,3,1026
31,4,1027
31,5,1028
31,3,1436
31,6,1437
31,7,1438
31,15,1439
31,17,1440
31,128,1441
31,129,1442
31,130,1443
31,131,1444
31,132,2040
31,251,2041
31,252,2042
31,253,2043
31,254,2044
31,255,2045
31,0,2046
31,2,2047
31,3,2048
31,8,2049
31,31,2050
31,9,2051
31,1,4091
31,2,4092
31,3,4093
31,4,4094
31,5,4095
31,6,4096
31,7,4097
31,8,4098
31,9,4099
31,15,4100
31,16,5000
31,17,8190
31,65,8191
31,127,8192
31,128,8193
31,129,8194
31,130,10000
31,131,16381
31,132,16382
31,251,16383
31,252,16384
31,253,16385
31,254,16386
31,255,16387
31,0,16388
31,32,20000
31,33,32763
31,63,32764
31,64,32765
31,65,32766
31,1,32767
31,2,32768
31,3,32769
31,4,32770
31,5,32771
31,6,32772
31,7,32773
32,10,1
32,15,2
32,16,3
32,63,5
32,64,10
32,127,16
32,128,32
32,129,64
32,130,125
32,131,126
32,132,127
32,251,128
32,252,129
32,253,130
32,254,131
32,255,250
32,0,251
32,1,252
32,9,253
32,17,254
32,31,255
32,32,256
32,33,257
32,8,258
32,65,259
32,2,507
32,3,508
32,5,509
32,6,510
32,10,511
32,10,512
32,10,513
32,7,514
32,8,515
32,9,1000
32,10,1021
32,15,1022
32,17,1023
32,31,1024
32,32,1025
32,33,1026
32,63,1027
32,64,1028
32,129,1436
32,130,1437
32,131,1438
32,132,1439
32,251,1440
32,252,1441
32,253,1442
32,254,1443
32,255,1444
32,0,2040
32,1,2041
32,127,2042
32,128,2043
32,16,2044
32,17,2045
32,31,2046
32,32,2047
32,33,2048
32,63,2049
32,64,2050
32,65,2051
32,127,4091
32,128,4092
32,129,4093
32,130,4094
32,131,4095
32,132,4096
32,251,4097
32,252,4098
32,253,4099
32,254,4100
32,255,5000
32,0,8190
32,1,8191
32,2,8192
32,3,8193
32,5,8194
32,6,10000
32,7,16381
32,8,16382
32,9,16383
32,10,16384
32,15,16385
32,16,16386
32,17,16387
32,31,16388
32,64,20000
32,65,32763
32,127,32764
32,128,32765
32,129,32766
32,130,32767
